epoch,val_acc,val_nll
1,0.6876750700280112,1.1122303843832149
2,0.9103641456582633,0.311439798826597
3,0.9313725490196079,0.21705127079613737
4,0.9593837535014006,0.14203968836145908
5,0.9719887955182073,0.09183642174265966
6,0.9747899159663865,0.08563387189425674
7,0.9831932773109243,0.05678796215134174
8,0.9873949579831933,0.049437664219645225
9,0.9761904761904762,0.0640654899492985
10,0.9845938375350141,0.047579481279482694
11,0.9943977591036415,0.02052280693432363
12,0.9845938375350141,0.03309393730484137
13,0.9873949579831933,0.032776296503987966
14,0.9915966386554622,0.02611981165342304
15,0.988795518207283,0.030888707113533125
16,0.9943977591036415,0.03077334580885596
17,0.9985994397759104,0.013428287679741696
18,0.9915966386554622,0.032410783687976896
19,0.9971988795518207,0.018262850253709724
20,0.9873949579831933,0.033647732762228544
21,0.9859943977591037,0.036182636115960884
22,0.9929971988795518,0.017132011474389322
23,0.9957983193277311,0.024293193306659116
24,0.9929971988795518,0.036055741857747736
25,0.988795518207283,0.04040560643879973
26,0.9901960784313726,0.052596607816820386
27,0.9915966386554622,0.03398636722264169
28,0.9817927170868347,0.06266199224511114
29,0.9859943977591037,0.04195134688158329
30,0.9957983193277311,0.022640954275258116
